Student Review,Experience (years),No. of Research Papers Published,Seminars Taken,Events,Attendance (%),Appraisal (%)
7,3,3,6,2,93.64,8.48
4,10,11,2,8,79.61,8.45
8,14,5,4,9,87.25,8.88
5,13,9,9,1,90.59,9.3
7,14,14,19,0,90.87,10.23
10,14,10,9,1,88.31,9.58
3,6,6,4,6,80.84,7.74
7,6,15,4,9,91.56,9.89
8,36,10,5,0,90.24,10.56
5,10,4,9,5,79.46,7.8
4,7,8,22,6,85.88,8.83
8,10,2,10,8,80.96,7.96
8,12,0,5,7,83.74,7.93
3,3,3,7,5,78.31,7.11
6,14,8,7,2,84.81,8.82
5,12,3,10,7,52.53,5.71
2,11,1,8,6,88.53,8.06
8,8,9,7,2,89.28,9.12
6,5,13,10,8,92.22,9.71
2,15,13,1,1,81.66,8.8
5,10,4,9,2,80.05,7.79
1,11,2,10,1,92.48,8.36
10,8,12,0,0,80.66,8.71
6,13,11,9,3,94.57,9.94
9,9,12,1,4,92.32,9.72
1,3,8,1,5,86.51,8.08
10,7,3,2,4,94.68,8.89
3,7,5,9,0,79.66,7.57
7,12,1,6,2,83.15,7.86
4,6,5,1,0,88.85,8.15
9,8,2,0,10,83.95,8
3,9,11,5,4,93.78,9.45
5,11,11,8,4,79.12,8.56
3,20,8,2,10,90.62,9.45
7,8,10,5,5,88.04,9.09
5,9,1,2,7,89.1,8.09
9,26,14,0,9,82.35,10.04
7,10,11,4,0,84.2,8.88
2,7,11,9,3,92.34,9.24
4,11,8,10,9,81.31,8.48
9,7,4,3,10,92.06,8.88
2,11,7,6,0,87.57,8.49
10,12,1,5,8,90.96,8.75
9,6,5,9,10,90.13,8.91
10,11,2,6,6,81.53,8.05
5,7,11,4,6,87.67,9.01
2,12,11,3,4,92.75,9.41
4,11,13,6,6,85.35,9.22
7,5,9,6,1,94.43,9.29
8,6,15,5,3,52.35,6.74
3,11,4,7,6,80.43,7.79
1,12,11,3,2,84.62,8.67
4,13,7,9,1,94.18,9.31
2,8,9,4,16,83.44,8.52
8,4,13,3,1,92.76,9.55
4,9,0,0,0,92.98,8.05
2,4,4,7,4,83.95,7.63
6,13,2,0,5,95.72,8.89
6,4,3,4,5,90.32,8.23
10,13,1,5,8,83.3,8.19
4,3,8,5,3,91.31,8.67
6,29,2,4,0,85.53,8.83
2,13,14,2,5,86.25,9.28
10,14,1,4,4,91.22,8.77
2,13,9,7,9,84.5,8.76
10,5,10,1,5,85.53,8.85
4,8,8,5,2,84.4,8.34
8,10,6,8,1,84.24,8.48
7,11,15,7,5,86.94,9.74
9,9,15,10,0,91.75,10.11
8,6,5,7,6,84.15,8.25
5,8,0,7,6,86.91,7.83
2,7,4,6,9,89.4,8.29
5,10,11,7,6,82.58,8.81
8,3,10,5,10,82.72,8.59
10,3,13,1,9,93.87,9.83
9,15,14,1,0,90.3,9.99
9,13,10,7,3,87.81,9.43
1,8,2,10,6,89.01,8.04
9,12,0,0,10,78.5,7.53
7,14,3,5,8,88.51,8.7
9,4,12,5,4,86.66,9.11
8,7,15,10,1,87.28,9.62
1,3,1,3,6,84.11,7.17
8,9,1,10,9,79.39,7.69
8,3,2,10,0,81.29,7.49
3,6,7,9,6,94.16,9.01
1,11,7,2,5,84.95,8.24
8,3,11,10,6,85.93,8.98
3,6,14,2,9,78.9,8.5
3,27,6,0,2,78.64,8.41
1,8,5,2,2,90.19,8.23
5,14,8,3,6,87.15,8.95
10,15,3,10,1,86.65,8.74
7,10,11,10,0,82.13,8.83
10,3,0,4,8,90.66,8.17
9,9,7,2,8,80.86,8.36
7,3,6,5,6,83.5,8.07
9,15,6,10,6,85.83,9.04
8,9,15,4,2,82.87,9.27
